SF Tab,Location,Notes,Suggested Action,RM Access,Explanation,Description,Dept. Responsible,Relationship,,,
Profile   ,Entitlements,,Remove,N,,P3 profile that the user falls under,Correspondent Services,Phase 3 related,,,
FTP Login,Entitlements,,Keep,N,,Self-explanatory,Correspondent Services,CS responsibility,,,
FTP Date/Ticket #,Entitlements,,Keep,N,,Self-explanatory,Correspondent Services,CS responsibility,,,
CIP (OFAC) ID,Entitlements,,Keep,N,,Self-explanatory,Correspondent Services,Compliance responsibility,,,
Indemnification Form,Entitlements,,Keep,N,,Y/N,Correspondent Services,Phase 3 related,,,
Comp,Entitlements,,Remove,N,,External (unable to alter),Correspondent Services,Phase 3 related,,,
Dept,Entitlements,,Remove,N,,External (unable to alter),Correspondent Services,Phase 3 related,,,
Other Phone,Other Information,,Remove,Y,,Self-explanatory,Correspondent Services,,,,
Department,Other Information,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Assistant,Other Information,,Remove,Y,,Self-explanatory,,,,,
Asst. Phone,Other Information,,Remove,Y,,Self-explanatory,,,,,
Lead Source,Other Information,,Remove,Y,,How did you hear about us? (Advertisement/ Trade Show/ etc.),,,,,
Contact Record Type,Other Information,,Keep,N,,Penson/Nexa Contact,Correspondent Services,Cant be altered,,,
Contact Owner,Other Information,,Keep,N,,Who created the contact,Correspondent Services,Can't be altered,,,
ContactID,Other Information,,Keep,,,Self-explanatory,,NO - bobo; system generated.,,,
EmailID,Other Information,,Keep,,,Self-explanatory,,NO - bobo; system generated.,,,
PhoneID,Other Information,,Keep,,,Self-explanatory,,NO - bobo; system generated.,,,
MobileID,Other Information,,Keep,,,Self-explanatory,,NO - bobo; system generated.,,,
Mailing Street,Not Shown,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Mailing City,Not Shown,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Mailing State/Province,Not Shown,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Mailing Zip/Postal Code,Not Shown,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Mailing Country,Not Shown,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Description,Other Information,,Remove,Y,,Self-explanatory,,,,,
Birthdate,Other Information,,Remove,Y,,Self-explanatory,,,,,
Title,Other Information,,Keep,Y,,Self-explanatory,,,,,
Other Street,Not Shown,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Other City,Not Shown,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Other State/Province,Not Shown,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Other Zip/Postal Code,Not Shown,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Other Country,Not Shown,,Keep,Y,,Self-explanatory,Correspondent Services,,,,
Opinion of our company,Other Information,,Remove,Y,,Self-explanatory,,,,,
Previous Company,Other Information,,Remove,Y,,Self-explanatory,,,,,
Reports To,Other Information,,Remove,Y,,Self-explanatory,,,,,
Do Not Call,Other Information,,Keep,Y,,Y/N,,,,,
FaxID,Other Information,,Remove,Y,,Self-explanatory,,,,,
HomePhoneID,Other Information,,Remove,Y,,Self-explanatory,,,,,
PagerID,Other Information,,Remove,Y,,Self-explanatory,,,,,
Company1,CR,,Keep,N,,GL Code; Office Code(s),Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Title1,CR,,Keep,N,Part of the Contact verifcaition process( Contact Sheets),ACAT/ Trading/ New Accounts/ etc.,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
AuthorizedSigner1,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
CorrespondentLevel1,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Company2,CR,,Keep,N,,GL Code; Office Code(s),Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Title2,CR,,Keep,N,Part of the Contact verifcaition process( Contact Sheets),ACAT/ Trading/ New Accounts/ etc.,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
AuthorizedSigner2,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
CorrespondentLevel2,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Company3,CR,,Keep,N,,GL Code; Office Code(s),Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Title3,CR,,Keep,N,Part of the Contact verifcaition process( Contact Sheets),ACAT/ Trading/ New Accounts/ etc.,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
AuthorizedSigner3,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
CorrespondentLevel3,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Company4,CR,,Keep,N,,GL Code; Office Code(s),Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Title4,CR,,Keep,N,Part of the Contact verifcaition process( Contact Sheets),ACAT/ Trading/ New Accounts/ etc.,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
AuthorizedSigner4,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
CorrespondentLevel4,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Company5,CR,,Keep,N,,GL Code; Office Code(s),Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Title5,CR,,Keep,N,Part of the Contact verifcaition process( Contact Sheets),ACAT/ Trading/ New Accounts/ etc.,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
AuthorizedSigner5,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
CorrespondentLevel5,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Company6,CR,,Keep,N,,GL Code; Office Code(s),Correspondent Services,Directly related to the Pi site; CS responsibility,,,
Title6,CR,,Keep,N,Part of the Contact verifcaition process( Contact Sheets),ACAT/ Trading/ New Accounts/ etc.,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
AuthorizedSigner6,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
CorrespondentLevel6,CR,,Keep,N,,Y/N,Correspondent Services,Directly related to the Pi site; CS responsibility,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
